,city,room_price,host_is_superhost,bedrooms,satisfaction
120,barcelona,182.93108664789256,True,1,96.0
121,barcelona,603.9518700397979,False,1,88.0
122,barcelona,1038.9368585193288,False,2,98.0
123,barcelona,127.30700304885144,False,1,91.0
124,barcelona,287.19715130216207,False,1,79.0
125,barcelona,161.98477901645447,True,1,99.0
126,barcelona,277.6549444922848,False,1,88.0
127,barcelona,266.250843670724,False,1,98.0
128,barcelona,237.15874973817117,False,1,91.0
129,barcelona,254.61400609770288,False,1,95.0
130,barcelona,937.4636348825842,False,3,80.0
131,barcelona,202.48097377056808,False,1,92.0
132,barcelona,188.5167686829427,False,1,92.0
133,barcelona,186.1894011683385,False,1,91.0
134,barcelona,160.82109525915234,False,1,82.0
135,barcelona,318.1511392463984,False,1,97.0
136,barcelona,324.20229478436937,False,1,95.0
137,barcelona,196.89529173551796,False,1,90.0
138,barcelona,572.2996718411804,True,2,97.0
139,barcelona,202.48097377056808,False,1,95.0
140,barcelona,148.0205739288291,False,1,85.0
141,barcelona,190.84413619754693,False,1,82.0
142,barcelona,168.96688156026715,False,1,87.0
143,barcelona,285.8007307933996,False,1,93.0
144,barcelona,196.89529173551796,False,1,93.0
145,barcelona,277.6549444922848,False,1,96.0
146,barcelona,157.56278073870644,False,1,87.0
147,barcelona,653.7575348523285,False,3,78.0
148,barcelona,481.29960202015496,False,1,80.0
149,barcelona,132.8926850839016,False,2,89.0
150,barcelona,1319.151907277678,False,3,94.0
151,barcelona,221.09991388740195,False,1,89.0
152,barcelona,173.62161658947562,False,1,95.0
153,barcelona,161.98477901645447,True,1,99.0
154,barcelona,288.1280983080038,False,1,93.0
155,barcelona,127.30700304885144,True,1,96.0
156,barcelona,254.61400609770288,False,1,97.0
157,barcelona,1619.847790164545,True,1,99.0
158,barcelona,895.5710196197081,False,2,93.0
159,barcelona,179.4400353759862,False,1,86.0
160,barcelona,176.87993110992156,False,1,88.0
161,barcelona,300.92861963832706,False,1,93.0
162,barcelona,200.1536062559639,False,1,85.0
163,barcelona,195.4988712267554,True,1,95.0
164,barcelona,161.98477901645447,False,1,83.0
165,barcelona,323.5040845299881,False,1,87.0
166,barcelona,208.29939255707868,True,1,95.0
167,barcelona,197.5935019898992,False,1,82.0
168,barcelona,159.65741150185025,False,1,89.0
169,barcelona,167.80319780296506,False,1,92.0
170,barcelona,167.80319780296506,False,1,86.0
171,barcelona,636.5350152442571,True,1,96.0
172,barcelona,462.6806619033211,False,1,95.0
173,barcelona,209.2303395629204,False,1,95.0
174,barcelona,636.5350152442571,True,1,97.0
175,barcelona,161.98477901645447,False,1,97.0
176,barcelona,252.28663858309864,True,1,99.0
177,barcelona,185.2584541624968,False,1,95.0
178,barcelona,185.2584541624968,False,1,94.0
179,barcelona,180.3709823818279,False,1,94.0
180,barcelona,173.62161658947562,False,1,87.0
181,barcelona,329.7879768194195,False,1,82.0
182,barcelona,387.5066911816044,False,1,86.0
183,barcelona,289.2917820653059,False,1,96.0
184,barcelona,318.1511392463984,False,1,85.0
185,barcelona,387.5066911816044,False,1,81.0
186,barcelona,241.5807480159192,False,1,91.0
187,barcelona,279.982312006889,True,1,98.0
